,braveid,bravename,bravesex,braveage,braveattack,monsterid,monstername,monsterdef,damage
22,925,SudouTeruo,男,31,916,86,スライムタワー,5.199308791011492,656.9006086933776
23,969,ImamuraAkari,女,52,790,344,ヘルクラウダー,0.39334729334071783,4164.867362284611
24,919,AoyamaHiroyuki,男,58,177,366,ホークスアーマー,38.27049754383774,9.345672048154396
25,650,SakataChihoko,女,13,874,320,ランプのまじん,58.09868628157402,132.01859693645412
26,992,KasuyaTakao,男,45,676,301,アバン（ドラゴラム）,62.000481401688134,26.8908065742689
27,836,KomatsuMami,女,46,340,99,ハンターフライ,77.14414784554772,11.245666731178732
28,372,SugaiMika,女,48,901,275,エリミネーター,24.640289963572926,81.05284176352556
29,279,AsaiKaoru,女,19,227,308,賀正大王スライム,8.8423827799057,141.3027235332941
30,712,NagayamaSayaka,女,53,469,162,ドロルメイジ,22.28590311952594,43.76927704090161
31,721,AizawaYuika,女,33,898,246,ダークスライム,37.52050891099151,74.1837330994233
32,230,KidaKeiko,女,54,540,226,きりさきピエロ,60.42571931179149,18.43046524725831
33,246,NoharaAkiko,女,16,167,256,トロピカルドラゴ,98.09855966622831,11.540219372916459
34,983,KishiMakoto,男,47,327,315,ぬすっとウサギ,47.448942593143684,16.64626748735362
35,7,YoshiiKiyoto,男,58,598,60,スウィートバッグ,81.93650843402477,14.336062386120576
36,364,AragakiKozue,女,32,457,279,ゴールドマン,95.37759770335244,17.62588920856901
37,851,TakatsuYuuna,女,46,198,20,キャタピラー,93.09125065864585,4.662140108490853
38,809,YasudaNaoki,男,51,382,115,ひとつめピエロ,57.12445817259867,14.974948387504798
39,479,NamikiKinsaku,男,57,492,193,アイスゴーレム,83.5410330499766,10.536490207730123
40,110,KuriyamaKaho,女,27,534,365,ライオンズレオ,38.17686369070131,60.963677570220554
41,767,TaguchiKoukichi,男,41,893,261,りゅうせんし,97.43887964109936,26.041658674431606
42,895,MatsuuraAtsushi,男,24,866,376,アバン,40.73124461631829,90.49913607353443
43,803,ShimazakiKako,女,30,313,234,ブラッドソード,99.33394146943809,11.371003268137663
44,338,OguraShirou,男,34,422,141,つむりんママ,63.41622979921233,23.28781095577314
45,390,MasukoYoshina,女,47,653,59,キラーピッケル,30.092306603463502,53.57417526780124
46,907,KawadaMisuzu,女,44,14,339,銀のおたからミミック,65.60024220044626,0.4894802803666306
47,801,OogawaraTokujirou,男,53,24,79,ともしびこぞう,79.38191484702388,0.6567834597905414
48,487,HoriiKouichi,男,44,711,47,アルミラージ,36.45091006654842,45.89259122304369
49,44,TawaraItsuki,女,16,931,292,フランケンゴーレム,35.82855955361831,172.50802722542863
50,985,YazawaSora,女,52,934,281,ウイングタイガー,65.56395287381564,30.608845422187443
51,299,MatsumotoMorihiko,男,30,143,147,ドラゴスライム,25.186996869199763,22.21805597057775
52,55,YoshiwaraKamna,女,19,583,13,メラリザード,62.19927739633315,51.82863449515133
53,429,TakagiShouei,男,28,818,239,ブリザード,89.54893343384825,34.36919511274848
54,214,OikawaNaho,女,49,562,188,キングレオ,99.93204122564387,13.692986017215127
55,158,OderaMiyuki,女,36,823,148,ベビーサラマンダ,75.64547594156734,31.442828964874014
56,604,MizuguchiHiroyuki,男,44,586,47,アルミラージ,36.45091006654842,37.443973041953114
57,341,HaraNaoyoshi,男,43,13,342,ヘルバオム,80.57634267952574,0.4001657386292112
58,863,NakazatoKenji,男,47,329,253,ギガンテス,63.26342159341283,12.06675344148521
59,438,NakazawaHaruta,男,13,298,348,メガゴールドマン,34.64156319559593,69.62293550133735
60,528,HosodaHarumi,女,20,278,38,おおくちばし,35.21326656861072,43.55107302353258
61,251,YoshinagaShana,女,11,816,57,ツンドラキー,9.461525381252745,894.7819865193834
62,876,AnzaiIchika,女,57,213,305,カメレオンマン,98.33552936950011,4.432182648272586
63,220,HosonoHiroyuki,男,48,475,365,ライオンズレオ,38.17686369070131,28.464047388771487
64,405,MiyasakaMariko,女,25,911,249,スカラベキング,51.54599694820027,73.76348603800906
65,824,TsuchiyaAkio,女,22,702,326,モヒカント,56.62752555819177,58.62796807328291
66,550,MiyajimaSanae,女,38,23,184,ドラゴンバゲージ,11.644364552263264,5.999163337675348
67,885,OoiSaya,女,51,878,298,リトルライバーン,84.51550457655938,22.817221402678484
68,962,MiyazakiItsuki,男,28,396,236,フロストギズモ,9.32363107386861,156.150157353783
69,182,YoshikawaFumio,男,53,245,194,スノードラゴン,67.50708559524386,7.079528467578402
70,58,MatsudaAkari,女,54,878,139,アローインプ,26.45796041781101,66.16976708796483
71,582,YoshizawaYura,女,39,51,124,ゴールデンコーン,38.90211200202424,3.6345655212475676
72,817,UmemuraHanako,女,46,668,268,キラートーチ,88.91139364958589,16.761939311615286
73,327,KatagiriYui,女,39,118,302,魔王ハドラー,42.27717616426215,7.51804890463817
74,700,AsakuraKeizou,男,51,657,186,ナウマンボーグ,50.14796790430549,27.717605662865417
75,823,OjimaMizuki,女,15,470,35,ねこまどう,97.69891511470016,34.73433898404831
76,322,FukumotoHina,女,29,63,71,さまようよろい,91.19014991824972,2.726095985384306
77,634,SakuradaMakiko,女,40,602,361,碧落天バリゲーン,32.028716377527374,51.52533749577966
78,595,SoneShinya,男,31,545,87,ひとくいばこ,22.811596711110827,88.2590505501647
79,473,UnoMoeko,女,19,228,356,アークデーモン,86.27235651538723,14.249402377149737
80,424,NakagawaHidenori,男,22,955,321,亡者のひとだま,18.347489980942544,268.0062234152334
81,593,MatsukawaJuurou,男,36,488,211,ゴールドオーク,14.458977717006615,94.32572776099124
82,737,SugiyamaMao,女,41,733,356,アークデーモン,86.27235651538723,21.184482221214925
83,934,TawaraChisaki,女,44,816,56,マーブルン,63.96532045161013,31.7260662604035
84,844,OkabeYuika,女,48,462,139,アローインプ,26.45796041781101,38.44702250047474
85,220,HosonoHiroyuki,男,48,475,194,スノードラゴン,67.50708559524386,16.630109754382115
86,201,YoshinagaKenichi,男,47,105,237,マリンスライム,33.71401186637642,7.24216000728337
87,612,InoueMaya,女,14,247,235,おばけトマト,15.957846352310423,123.79707853694366
88,252,NagaseToshiharu,男,58,1,121,ミニデーモン,26.80277362667357,0.07480980488410154
89,55,YoshiwaraKamna,女,19,583,143,かっちゅうアリ,37.41873930736478,88.71727355085945
90,177,OgiwaraAsuma,男,16,377,146,ヒイラギどうじ,11.91613426675815,234.52788288740717
91,950,FukunagaKomako,女,14,656,91,ベビーニュート,12.272974759500554,397.57043859763843
92,886,HosodaKumi,女,31,861,72,サイおとこ,53.665335603755395,53.569602860379774
93,393,OkiShintarou,男,45,526,368,スターキメラ,38.06694076898833,36.11752033428002
94,929,HiraokaKiichi,男,31,976,132,あくま神官,90.09514654679606,41.715021834910345
95,36,OginoAnri,女,10,356,56,マーブルン,63.96532045161013,62.699333136886644
96,257,AkitaSana,女,32,912,95,ホークマン,47.41424166226875,68.35110781273409
97,37,YamawakiKahoko,女,13,965,199,メタルドラゴン,85.02170226845979,91.32661058001635
98,750,IwasakiYuika,女,13,630,157,ドロル,70.99548264555058,79.89697477344478
99,3,SumidaRui,男,17,953,324,バアルゼブブ,58.835137926753,105.78395521782917
100,275,GotouKotomi,女,55,824,151,てっこうまじん,23.18597071733125,73.25049234050655
101,965,HatakeyamaMatsuo,男,30,437,302,魔王ハドラー,42.27717616426215,35.49264565671668
102,499,KouyaNaoki,男,53,823,60,スウィートバッグ,81.93650843402477,22.050459982835456
103,31,KashiwabaraTomiko,女,51,908,360,サイレス,74.73391586783625,28.2980159502238
104,289,OomiyaMasataka,男,43,369,154,トロル,22.75060278427542,43.777661316548105
105,364,AragakiKozue,女,32,457,329,だいおうイカ,7.411866856993477,201.80792178365428
106,455,MizutaniTateaki,男,40,530,312,うごくひょうぞう,98.13953388890772,13.980873247844785
107,332,OotaAyana,女,38,618,162,ドロルメイジ,22.28590311952594,75.4667143100463
108,691,MatsushimaRikuya,男,10,448,146,ヒイラギどうじ,11.91613426675815,392.3274819092149
109,333,KataokaTakafumi,男,34,686,120,リザードマン,8.869590997969002,271.47232307624324
110,972,YamaguchiEiji,男,17,400,25,あばれこまいぬ,40.02347660848285,65.31540303635047
111,265,KasaiToshiko,女,33,126,100,デッドペッカー,14.29056307706742,31.887860267034895
112,482,SoumaIbuki,男,22,744,247,ダークキング,25.595354767985135,142.21882134978023
113,563,HaraguchiMichiyo,女,53,306,214,さまようたましい,85.50429258891616,6.837143551974132
114,971,MatsubaraKouya,男,17,941,302,魔王ハドラー,42.27717616426215,155.53268290023829
115,336,TeraokaYouichi,男,43,443,39,ホイミスライム,83.53834404808323,13.78011541496065
116,82,HatanakaToshitada,男,50,143,129,アルケミストン,63.63599161150697,5.153116373093087
117,678,SugimotoKazuyoshi,男,47,133,116,ベビル,98.35492411844406,3.064071850532636
118,635,SeoAiha,女,38,538,343,ヘルバオムのねっこ,98.00702454335817,16.124458343883738
119,644,OoshitaMikio,男,51,152,280,記念大王スライム,85.71771468847402,4.027175322777119
120,464,OnumaKenkichi,男,58,924,325,ボーンファイター,8.739979281647969,193.77734814372857
121,76,UnoYoshihisa,男,43,138,54,プリズニャン,7.437137965435303,44.359812391779805
122,537,HamadaHiroshi,男,22,922,200,メタルホイミン,5.665521422264264,773.4167240933191
123,377,KawamotoNobuo,男,23,818,344,ヘルクラウダー,0.39334729334071783,10515.105842219276
124,94,MatsunoTomoyo,女,53,926,276,じごくのつかい,83.71339509045977,24.536743809214453
125,426,KawabataKimiko,男,28,370,151,てっこうまじん,23.18597071733125,62.86277251047289
126,821,YamakawaMarin,女,32,107,345,メカバーン,1.594602967979608,242.20393885307286
127,619,UchidaAyano,女,21,19,261,りゅうせんし,97.43887964109936,1.085012074112212
128,878,FujitaAkito,男,24,344,118,ボーンナイト,9.428769482295717,157.93217960236151
129,8,ItagakiFuuka,女,19,872,66,ドラキーマ,83.61099881540909,61.283040276847935
130,366,YoshizakiReiji,男,40,692,58,チョコヌーバ,94.72377075193083,19.442807312555818
131,856,NagataToshio,男,34,268,224,ゲリュオン,25.726084412804752,34.523011908284786
132,156,YokoyamaRumi,女,58,820,170,ドラゴン,78.77369437313794,20.958401317757986
133,704,YanoTeruo,男,32,747,225,おひなさまスライム,94.8910140234197,27.319443082172953
134,607,TsukamotoAina,女,42,562,60,スウィートバッグ,81.93650843402477,17.452848533064603
135,983,KishiMakoto,男,47,327,217,りゅうき兵,50.69121706779111,14.494015330147672
136,958,HashiguchiKouji,男,31,21,33,キラースコップ,24.557522455088765,2.97546567976706
137,786,KawaguchiSetsuka,女,10,397,298,リトルライバーン,84.51550457655938,48.554135893086034
138,864,KawagoeSada,女,43,87,143,かっちゅうアリ,37.41873930736478,6.069066591836194
139,692,MatsuzawaMasaru,男,17,426,377,エデンの戦士たち１,17.560947997378594,158.52553260493968
140,281,MiyajimaHaruna,女,29,517,188,キングレオ,99.93204122564387,20.754493118687375
141,2,KanayaNene,女,46,200,342,ヘルバオム,80.57634267952574,5.946929703225805
142,101,ChibaRuna,女,33,652,20,キャタピラー,93.09125065864585,21.51406748541119
143,285,YoshimotoIkuyo,女,43,514,47,アルミラージ,36.45091006654842,34.339649651480556
144,796,OguraTakenobu,男,32,540,338,デスマシーン,36.237572153171016,52.063482647223836
145,16,HosakaToshihiro,男,59,610,188,キングレオ,99.93204122564387,10.488939549576822
146,513,ArigaAiko,女,43,574,26,ぶちスライム,10.877655548237053,128.9880859176609
147,242,ShiraishiFumihiko,男,46,562,242,ホラービースト,38.087123426508306,34.77783537678004
148,666,IharaToshio,男,51,911,51,スマイルロック,33.10539004702668,60.313849520525046
149,604,MizuguchiHiroyuki,男,44,586,223,シルバーデビル,72.382621361118,18.848972573674263
150,757,KusakaAkito,男,23,417,274,うごくせきぞう,12.455201989032394,155.40923786766987
151,567,YabukiMitsuteru,男,25,384,273,ほのおのせんし,96.23908862240403,16.643702538215027
152,906,NagaokaTsugio,男,37,120,361,碧落天バリゲーン,32.028716377527374,11.66693526194702
153,609,YamagishiSouga,男,25,283,44,ビッグハット,11.651456325106935,115.84647853250922
154,580,MaruyamaMiharu,女,23,897,225,おひなさまスライム,94.8910140234197,47.868062112261526
155,109,FukumotoKarin,女,32,552,117,メタルライダー,52.31662315813808,37.34650253239973
156,475,NumataKiyoshi,男,31,621,154,トロル,22.75060278427542,96.4029771853639
157,686,HataMia,女,27,259,270,ホロゴースト,62.2345545225676,15.561504162309042
158,894,OoiMasako,女,58,177,278,ＭＣカンダタ,96.31837541218073,3.5207452612612684
159,184,TakeiAmna,女,51,250,273,ほのおのせんし,96.23908862240403,5.328252215035594
160,163,HashizumeMirei,女,30,355,56,マーブルン,63.96532045161013,19.669304381288395
161,839,NishiguchiMai,女,17,401,294,おんせんスライム,82.6314745416439,30.142965641339774
162,131,HirutaTsukino,女,20,99,172,りゅうおう,45.91801961005384,12.391175222385401
163,371,DoiTakaharu,男,17,292,194,スノードラゴン,67.50708559524386,25.74605007077013
164,764,TerashimaFumito,男,12,47,311,ひょうがまじん,59.11983073481498,7.02806304205467
165,292,KamiyamaTakatoshi,男,41,344,168,ダースドラゴン,93.59314206345836,9.317918376588278
166,742,HamaKazuya,男,32,114,247,ダークキング,25.595354767985135,15.813334639280958
167,558,SatakeMasahiro,男,26,637,72,サイおとこ,53.665335603755395,51.94628298827032
168,179,DoiEmi,女,36,40,8,いたずらもぐら,76.5784622886372,1.5227091782578448
169,734,BanHina,女,18,84,3,スライムベス,94.04065485183388,5.6381597748184475
170,316,KamiokaNagisa,女,19,268,267,メガザルロック,98.70130752536157,15.762514848526278
171,763,MuroiEri,女,43,650,350,おにこぞう,30.363739237744547,55.47715837171135
172,197,AzumaKoharu,女,20,779,251,スナノサウルス,80.06800677672953,57.611032586771
173,512,KashimaRyuunosuke,男,12,923,79,ともしびこぞう,79.38191484702388,109.00330449942601
174,187,IshikuraToshie,女,31,674,170,ドラゴン,78.77369437313794,33.088192254331744
175,251,YoshinagaShana,女,11,816,143,かっちゅうアリ,37.41873930736478,235.2865108288777
176,34,IkawaNagisa,女,57,872,180,コドラ,72.83090595456996,22.61267034290431
177,5,AmemiyaMitsuo,男,54,834,55,ミケまどう,23.601616032518958,68.24858576168343
178,270,WakabayashiRin,女,50,121,49,スノーモン,32.04405054951196,8.744816835401473
179,501,HorieSuzuno,女,10,149,166,キラーリカント,3.194156252605951,483.8980190372184
180,978,ShibuyaGemnosuke,男,17,447,310,つららスライム,1.272448001053783,2200.0454267636096
181,377,KawamotoNobuo,男,23,818,328,ガルーダ,83.23126733204855,49.23106962445861
182,781,FukaiMasao,男,54,130,11,びっくりサタン,44.155946461972185,6.306448401867395
183,145,TakeshitaAyane,女,40,785,357,シュプリンガー,9.116566424221585,241.38812680707184
184,767,TaguchiKoukichi,男,41,893,126,ももいろ三姉妹,53.873066209342745,44.342023638009806
185,527,DoiKouga,男,15,798,81,たまねぎマン,92.5795124617181,65.12868808273397
186,352,YoshinagaYuzuki,女,21,636,96,どくやずきん,86.020608924239,39.91406216380394
187,920,HirayamaYosaburou,男,34,807,272,デンタザウルス,15.811326624582534,175.95141436447656
188,913,OohashiHiroyuki,男,52,998,332,マリンバブル,94.9253083632405,21.599797521985494
189,713,BabaHiroyuki,男,56,327,60,スウィートバッグ,81.93650843402477,7.286315165053958
190,460,MochidaWajima,男,48,817,2,ドラキー,50.07473003378037,39.04970476890474
191,888,KawashimaAkihiko,男,12,839,292,フランケンゴーレム,35.82855955361831,215.92034709983218
192,835,MorikawaDaisuke,男,19,616,164,キースドラゴン,81.51892517840334,41.760310839839015
193,222,YokomizoAtsuki,男,11,696,174,ダッシュラン,43.749965215570604,149.97652895987625
194,360,HoriMasaki,男,22,918,305,カメレオンマン,98.33552936950011,45.49796601431179
195,479,NamikiKinsaku,男,57,492,219,メイジキメラ,10.688084638876594,92.06104999730667
196,11,EbiharaShoujirou,男,52,13,125,ピンクボンボン,31.753240550291896,0.8016193536609503
197,524,OjimaSaya,女,27,480,124,ゴールデンコーン,38.90211200202424,50.38599787591254
198,879,TsutsuiFuku,男,19,901,272,デンタザウルス,15.811326624582534,302.05389818100156
199,558,SatakeMasahiro,男,26,637,289,シャドーサタン,5.1530858693360715,531.5866556782518
200,730,ObataRui,女,16,503,55,ミケまどう,23.601616032518958,141.24573926630754
201,134,TawaraMasao,男,54,316,348,メガゴールドマン,34.64156319559593,19.811808372041376
202,155,MaruyamaTsuneo,男,52,181,299,レッドアーチャー,83.61943953740199,4.466839811243778
203,637,TanimotoAtsuhiro,男,12,301,324,バアルゼブブ,58.835137926753,44.67601952971094
204,264,OkanoChiharu,女,56,315,111,フレイム,45.6582812090336,13.114989219588976
205,810,SakashitaMizuki,女,30,956,216,ベホイムスライム,61.18277351794214,55.35184511651238
206,131,HirutaTsukino,女,20,99,321,亡者のひとだま,18.347489980942544,28.32497679235271
207,411,UtsumiNaoyoshi,男,15,149,90,ごろつき,45.13939422725193,24.576523165859665
208,459,HashizumeKahona,女,14,315,231,バラモス,15.312005462044564,152.14263720001443
209,481,YoshinoNatsumi,女,52,158,255,スイカ岩,31.6303558567804,10.737629695487797
210,17,OotomoKazuki,男,22,341,301,アバン（ドラゴラム）,62.000481401688134,25.783532493435825
211,19,KomineTetsuo,男,43,232,22,どくろあらい,66.89320365033224,9.01198568389283
212,615,InuiHiyori,女,59,759,376,アバン,40.73124461631829,31.839520109779
213,528,HosodaHarumi,女,20,278,167,だいまどう,8.335544330652267,175.47409287612473
214,873,OchiYuzuru,男,57,485,317,グレゴリダンス,4.702826255093617,210.77400375480215
215,629,UchimuraKoharu,女,19,658,197,おみくじミミック,77.3767263700856,46.583921682108716
216,428,SegawaEmi,女,20,433,201,つかいま,92.09539808216512,23.738199184622566
217,659,HanadaRuka,女,25,676,128,とげこんぼう,13.93687695301441,210.35449406595907
218,273,ShinodaRio,女,15,944,324,バアルゼブブ,58.835137926753,117.7872547045603
219,157,OdaRuna,女,55,840,169,あくまのきし,68.78622177338572,26.19866848441018
220,397,NakataniKaya,女,25,904,261,りゅうせんし,97.43887964109936,38.39144726037004
221,284,KitayamaSaya,女,47,37,367,マリーンズサタン,84.8429679291025,1.0074359865068752
222,794,HamanoMitsuko,女,41,177,377,エデンの戦士たち１,17.560947997378594,26.32064207125585
223,512,KashimaRyuunosuke,男,12,923,156,おおさそり,12.261397584663635,674.8510084000964
224,209,OokawaYoshimi,女,40,288,128,とげこんぼう,13.93687695301441,61.280015272782514
225,656,OkaHaruo,男,36,322,230,やまたのおろち,8.092482637976273,127.8420960782349
226,722,ShudouToshirou,男,42,818,284,暴嵐天バリゲーン,86.72592610836234,22.958443882415764
227,923,AkibaKimi,女,19,214,279,ゴールドマン,95.37759770335244,13.185298718255753
228,958,HashiguchiKouji,男,31,21,219,メイジキメラ,10.688084638876594,7.56895639178812
229,399,AkamatsuHimari,女,36,302,368,スターキメラ,38.06694076898833,23.422570077642444
230,547,HinoIsao,男,37,2,111,フレイム,45.6582812090336,0.12757660776564902
231,854,ShidaChizuru,女,46,443,188,キングレオ,99.93204122564387,11.037931690754949
232,564,TejimaKazuo,男,32,326,84,トンブレロ,97.96726035462086,12.426292684696493
233,105,TsuboiSeiji,男,49,103,74,タップデビル,18.549933186733426,12.558967893804418
234,37,YamawakiKahoko,女,13,965,377,エデンの戦士たち１,17.560947997378594,450.8093962358676
235,179,DoiEmi,女,36,40,355,ブランマトック,63.58761559510205,2.0389194297590088
236,132,KawashimaKinzou,男,25,664,72,サイおとこ,53.665335603755395,51.76422519399528
237,517,NiikuraMaemi,女,12,415,367,マリーンズサタン,84.8429679291025,47.08467175519039
238,848,SakaiShigeko,女,32,693,179,スカルゴン,44.21159342963457,49.63836598472745
239,557,IkutaKenyuu,男,15,344,301,アバン（ドラゴラム）,62.000481401688134,41.078330214397255
240,442,YabeFumio,男,46,357,271,ボボンガー,9.076922059040305,94.00918306436112
241,145,TakeshitaAyane,女,40,785,217,りゅうき兵,50.69121706779111,42.532374668974924
242,725,KawanishiYumi,女,44,874,239,ブリザード,89.54893343384825,25.492379426239935
243,568,YoshiwaraHajime,男,36,329,44,ビッグハット,11.651456325106935,87.36366329286597
244,646,ShibuyaKaho,女,48,285,85,オーク,81.73320461804853,8.447200506174415
245,659,HanadaRuka,女,25,676,59,キラーピッケル,30.092306603463502,104.83950298470259
246,890,IwashitaMia,女,17,221,279,ゴールドマン,95.37759770335244,15.102096208326303
247,60,YamagataMasaharu,男,42,185,220,ボーンプリズナー,79.47402191519394,6.515493601586631
248,892,SakashitaYuuna,女,48,642,235,おばけトマト,15.957846352310423,84.32161229979062
249,580,MaruyamaMiharu,女,23,897,112,デビルアーマー,96.80199711247907,42.41136265336267
250,518,KanekoMio,女,35,470,141,つむりんママ,63.41622979921233,21.278222425526213
251,279,AsaiKaoru,女,19,227,319,ナイトキャット,2.6203724974506626,512.9908011791921
252,134,TawaraMasao,男,54,316,92,はぐれメタル,71.21661083197408,8.741846680686164
253,842,UchinoMuneo,男,54,530,198,ふくぶくろ,88.46347669949377,12.787644816644265
254,186,NakamoriShigeki,男,51,63,64,スカルガルー,38.73616331444122,3.6216890685000425
255,188,SeoKaito,男,29,180,215,ベンガルクーン,32.44980276838254,20.43336256850239
256,126,MatsunagaAyane,女,43,876,255,スイカ岩,31.6303558567804,73.733166588309
257,3,SumidaRui,男,17,953,159,リカント,12.804934609094188,501.1519283166146
258,945,ShindouYuuha,女,16,478,348,メガゴールドマン,34.64156319559593,103.20346246705925
259,107,MorimotoMichio,男,44,258,79,ともしびこぞう,79.38191484702388,8.457584033794015
260,380,ShiotaniYuki,女,21,135,101,ケダモン,74.19067882742955,9.380739184813358
261,68,NiikuraNao,女,37,250,147,ドラゴスライム,25.186996869199763,27.570314683544748
262,864,KawagoeSada,女,43,87,107,かえんムカデ,12.563685890713405,18.51642269970315
263,550,MiyajimaSanae,女,38,23,259,キングスイカ岩,20.630888043328344,3.1303870255299024
264,295,TsukadaRumi,女,55,873,194,スノードラゴン,67.50708559524386,28.11106247046147
265,779,KawaharaHiyori,女,51,247,172,りゅうおう,45.91801961005384,11.179940238307458
266,505,OjimaKurumi,女,29,825,234,ブラッドソード,99.33394146943809,31.205063066214553
267,663,HiraiAkime,女,41,438,312,うごくひょうぞう,98.13953388890772,12.282920750659587
268,933,IsozakiKenichi,男,12,969,82,よろいのきし,53.5657790652988,152.00681451189578
269,158,OderaMiyuki,女,36,823,321,亡者のひとだま,18.347489980942544,131.75166596738123
270,375,MatsumotoSayaka,女,50,995,327,バッファロン,47.14190340917514,44.61762783595383
271,19,KomineTetsuo,男,43,232,128,とげこんぼう,13.93687695301441,43.825076248029404
272,196,KawaiChoutarou,男,41,486,119,ヒートギズモ,92.13246415820852,15.177030184448412
273,728,HataMidori,女,37,787,200,メタルホイミン,5.665521422264264,394.2083711175173
274,48,KamiyaKaho,女,34,379,232,バラモスブロス,2.809959902313919,405.74309690436206
275,344,KishiRie,女,43,808,120,リザードマン,8.869590997969002,231.7047059745047
276,86,WakayamaNatsuko,女,49,429,340,金のおたからミミック,44.39792894639438,21.11171159841165
277,71,AzumaGenya,男,19,163,359,ライノソルジャー,78.90702965032186,12.421594310792722
278,212,UranoMisaki,女,24,595,27,メタッピー,70.91892600181495,39.131923533973016
279,605,HamanoShino,女,10,223,299,レッドアーチャー,83.61943953740199,31.772437062900636
280,433,NagashimaYuu,女,24,465,279,ゴールドマン,95.37759770335244,24.088450580517534
281,412,NaruseTowa,女,20,35,75,ガチャコッコ,10.134100873182117,20.035941506470277
282,256,YamauchiKazuo,男,55,345,161,まどうし,27.742044244358766,25.457963792446172
283,465,HashimotoYui,女,48,975,99,ハンターフライ,77.14414784554772,29.095881139750247
284,454,KurodaNozomi,女,17,348,101,ケダモン,74.19067882742955,29.976814480429645
285,77,AsanumaSeiko,女,18,1000,187,ギガデーモン,87.87373334926907,65.66936320446484
286,835,MorikawaDaisuke,男,19,616,72,サイおとこ,53.665335603755395,61.30497290581033
287,793,OobuchiNobuaki,男,47,757,21,メタルスライム,13.845959582104928,123.17793508100789
288,240,TamnoKako,女,17,383,191,ヘルバトラー,93.97437173910374,24.86371900400056
289,48,KamiyaKaho,女,34,379,250,セキバーン,11.72963654596697,100.64139108320661
290,394,AsakawaIori,女,28,68,106,イエティ,32.47049136267112,8.64816307360595
291,550,MiyajimaSanae,女,38,23,307,メタルかがみもち,95.53583425248019,0.6700486211021248
292,814,HiraiRio,女,16,314,361,碧落天バリゲーン,32.028716377527374,67.08359597818828
293,370,KajitaShunji,男,37,451,97,ブラウニー,68.21795794896079,17.90660252863172
294,641,AritaKouzou,男,27,836,160,ストーンマン,45.465736125063906,69.80444575493576
295,773,OgawaAtsumu,男,47,688,205,じごくのもんばん,80.7548432124322,19.674344484206575
296,114,NasuYoshiaki,男,55,438,11,びっくりサタン,44.155946461972185,18.495570985689795
297,522,YazawaMorihiko,男,49,237,21,メタルスライム,13.845959582104928,35.98061846125192
298,772,TakasakiHaruo,男,36,500,272,デンタザウルス,15.811326624582534,97.86098163645092
299,309,OotomoKinichi,男,36,393,159,リカント,12.804934609094188,93.38252037315745
300,40,OdakaKikuo,男,38,940,55,ミケまどう,23.601616032518958,114.48848881414686
301,703,TsudaKonoka,女,12,936,68,ヘルビースト,12.916844071762679,640.9214576720685
302,751,OoyamaAoma,男,16,939,6,しましまキャット,25.004689439632177,280.40155619348894
303,614,HidakaReiko,女,18,686,285,キマイラロード,52.324974393644084,74.33557428597744
304,452,KanekoKeigo,男,22,312,210,じごくのハサミ,58.59147297722057,26.57893259880233
305,908,MaeharaShouji,男,21,571,337,からくり兵,34.13261635394964,80.35010926557499
306,518,KanekoMio,女,35,470,161,まどうし,27.742044244358766,50.75807401593947
307,594,TakaiKichinosuke,男,44,791,39,ホイミスライム,83.53834404808323,25.569038222630862
